code,name,date,description
ES01001,Alegría-Dulantzi,,
ES01001,Alegría-Dulantzi,,
ES01002,Amurrio,,
ES01002,Amurrio,,
ES01003,Aramaio,,
ES01003,Aramaio,,
ES01004,Artziniega,,
ES01004,Artziniega,,
ES01006,Armiñón,,
ES01006,Armiñón,,
ES01008,Arrazua-Ubarrundia,,
ES01008,Arrazua-Ubarrundia,,
ES01009,Asparrena,,
ES01009,Asparrena,,
ES01010,Ayala/Aiara,,
ES01010,Ayala/Aiara,,
ES01011,Baños de Ebro/Mañueta,,
ES01011,Baños de Ebro/Mañueta,,
ES01013,Barrundia,,
ES01013,Barrundia,,
ES01014,Berantevilla,,
ES01014,Berantevilla,,
ES01016,Bernedo,,
ES01016,Bernedo,,
ES01017,Campezo/Kanpezu,,
ES01017,Campezo/Kanpezu,,
ES01018,Zigoitia,,
ES01018,Zigoitia,,
ES01019,Kripan,,
ES01019,Kripan,,
ES01020,Kuartango,,
ES01020,Kuartango,,
ES01021,Elburgo/Burgelu,,
ES01021,Elburgo/Burgelu,,
ES01022,Elciego,,
ES01022,Elciego,,
ES01023,Elvillar/Bilar,,
ES01023,Elvillar/Bilar,,
ES01027,Iruraiz-Gauna,,
ES01027,Iruraiz-Gauna,,
ES01028,Labastida/Bastida,,
ES01028,Labastida/Bastida,,
ES01030,Lagrán,,
ES01030,Lagrán,,
ES01031,Laguardia,,
ES01031,Laguardia,,
ES01032,Lanciego/Lantziego,,
ES01032,Lanciego/Lantziego,,
ES01033,Lapuebla de Labarca,,
ES01033,Lapuebla de Labarca,,
ES01034,Leza,,
ES01034,Leza,,
ES01036,Laudio/Llodio,,
ES01036,Laudio/Llodio,,
ES01037,Arraia-Maeztu,,
ES01037,Arraia-Maeztu,,
ES01039,Moreda de Álava,,
ES01039,Moreda de Álava,,
ES01041,Navaridas,,
ES01041,Navaridas,,
ES01042,Okondo,,
ES01042,Okondo,,
ES01043,Oyón-Oion,,
ES01043,Oyón-Oion,,
ES01044,Peñacerrada-Urizaharra,,
ES01044,Peñacerrada-Urizaharra,,
ES01046,Erriberagoitia/Ribera Alta,,
ES01046,Erriberagoitia/Ribera Alta,,
ES01047,Ribera Baja/Erribera Beitia,,
ES01047,Ribera Baja/Erribera Beitia,,
ES01049,Añana,,
ES01049,Añana,,
ES01051,Salvatierra/Agurain,,
ES01051,Salvatierra/Agurain,,
ES01052,Samaniego,,
ES01052,Samaniego,,
ES01053,San Millán/Donemiliaga,,
ES01053,San Millán/Donemiliaga,,
ES01054,Urkabustaiz,,
ES01054,Urkabustaiz,,
ES01055,Valdegovía/Gaubea,,
ES01055,Valdegovía/Gaubea,,
ES01056,Harana/Valle de Arana,,
ES01056,Harana/Valle de Arana,,
ES01057,Villabuena de Álava/Eskuernaga,,
ES01057,Villabuena de Álava/Eskuernaga,,
ES01058,Legutio,,
ES01058,Legutio,,
ES01059,Vitoria-Gasteiz,,
ES01059,Vitoria-Gasteiz,,
ES01060,Yécora/Iekora,,
ES01060,Yécora/Iekora,,
ES01061,Zalduondo,,
ES01061,Zalduondo,,
ES01062,Zambrana,,
ES01062,Zambrana,,
ES01063,Zuia,,
ES01063,Zuia,,
ES01901,Iruña Oka/Iruña de Oca,,
ES01901,Iruña Oka/Iruña de Oca,,
ES01902,Lantarón,,
ES01902,Lantarón,,
ES02001,Abengibre,,
ES02001,Abengibre,,
ES02002,Alatoz,,
ES02002,Alatoz,,
ES02003,Albacete,,
ES02003,Albacete,,
ES02004,Albatana,,
ES02004,Albatana,,
ES02005,Alborea,,
ES02005,Alborea,,
ES02006,Alcadozo,,
ES02006,Alcadozo,,
ES02007,Alcalá del Júcar,,
ES02007,Alcalá del Júcar,,
ES02008,Alcaraz,,
ES02008,Alcaraz,,
ES02009,Almansa,,
ES02009,Almansa,,
ES02010,Alpera,,
ES02010,Alpera,,
ES02011,Ayna,,
ES02011,Ayna,,
ES02012,Balazote,,
ES02012,Balazote,,
ES02013,Balsa de Ves,,
ES02013,Balsa de Ves,,
ES02014,El Ballestero,,
ES02014,El Ballestero,,
ES02015,Barrax,,
ES02015,Barrax,,
ES02016,Bienservida,,
ES02016,Bienservida,,
ES02017,Bogarra,,
ES02017,Bogarra,,
ES02018,Bonete,,
ES02018,Bonete,,
ES02019,El Bonillo,,
ES02019,El Bonillo,,
ES02020,Carcelén,,
ES02020,Carcelén,,
ES02021,Casas de Juan Núñez,,
ES02021,Casas de Juan Núñez,,
ES02022,Casas de Lázaro,,
ES02022,Casas de Lázaro,,
ES02023,Casas de Ves,,
ES02023,Casas de Ves,,
ES02024,Casas-Ibáñez,,
ES02024,Casas-Ibáñez,,
ES02025,Caudete,,
ES02025,Caudete,,
ES02026,Cenizate,,
ES02026,Cenizate,,
ES02027,Corral-Rubio,,
ES02027,Corral-Rubio,,
ES02028,Cotillas,,
ES02028,Cotillas,,
ES02029,Chinchilla de Monte-Aragón,,
ES02029,Chinchilla de Monte-Aragón,,
ES02030,Elche de la Sierra,,
ES02030,Elche de la Sierra,,
ES02031,Férez,,
ES02031,Férez,,
ES02032,Fuensanta,,
ES02032,Fuensanta,,
ES02033,Fuente-Álamo,,
ES02033,Fuente-Álamo,,
ES02034,Fuentealbilla,,
ES02034,Fuentealbilla,,
ES02035,La Gineta,,
ES02035,La Gineta,,
ES02036,Golosalvo,,
ES02036,Golosalvo,,
ES02037,Hellín,,
ES02037,Hellín,,
ES02038,La Herrera,,
ES02038,La Herrera,,
ES02039,Higueruela,,
ES02039,Higueruela,,
ES02040,Hoya-Gonzalo,,
ES02040,Hoya-Gonzalo,,
ES02041,Jorquera,,
ES02041,Jorquera,,
ES02042,Letur,,
ES02042,Letur,,
ES02043,Lezuza,,
ES02043,Lezuza,,
ES02044,Liétor,,
ES02044,Liétor,,
ES02045,Madrigueras,,
ES02045,Madrigueras,,
ES02046,Mahora,,
ES02046,Mahora,,
ES02047,Masegoso,,
ES02047,Masegoso,,
ES02048,Minaya,,
ES02048,Minaya,,
ES02049,Molinicos,,
ES02049,Molinicos,,
ES02050,Montalvos,,
ES02050,Montalvos,,
ES02051,Montealegre del Castillo,,
ES02051,Montealegre del Castillo,,
ES02052,Motilleja,,
ES02052,Motilleja,,
ES02053,Munera,,
ES02053,Munera,,
ES02054,Navas de Jorquera,,
ES02054,Navas de Jorquera,,
ES02055,Nerpio,,
ES02055,Nerpio,,
ES02056,Ontur,,
ES02056,Ontur,,
ES02057,Ossa de Montiel,,
ES02057,Ossa de Montiel,,
ES02058,Paterna del Madera,,
ES02058,Paterna del Madera,,
ES02059,Peñascosa,,
ES02059,Peñascosa,,
ES02060,Peñas de San Pedro,,
ES02060,Peñas de San Pedro,,
ES02061,Pétrola,,
ES02061,Pétrola,,
ES02062,Povedilla,,
ES02062,Povedilla,,
ES02063,Pozohondo,,
ES02063,Pozohondo,,
ES02064,Pozo-Lorente,,
ES02064,Pozo-Lorente,,
ES02065,Pozuelo,,
ES02065,Pozuelo,,
ES02066,La Recueja,,
ES02066,La Recueja,,
ES02067,Riópar,,
ES02067,Riópar,,
ES02068,Robledo,,
ES02068,Robledo,,
ES02069,La Roda,,
ES02069,La Roda,,
ES02070,Salobre,,
ES02070,Salobre,,
ES02071,San Pedro,,
ES02071,San Pedro,,
ES02072,Socovos,,
ES02072,Socovos,,
ES02073,Tarazona de la Mancha,,
ES02073,Tarazona de la Mancha,,
ES02074,Tobarra,,
ES02074,Tobarra,,
ES02075,Valdeganga,,
ES02075,Valdeganga,,
ES02076,Vianos,,
ES02076,Vianos,,
ES02077,Villa de Ves,,
ES02077,Villa de Ves,,
ES02078,Villalgordo del Júcar,,
ES02078,Villalgordo del Júcar,,
ES02079,Villamalea,,
ES02079,Villamalea,,
ES02080,Villapalacios,,
ES02080,Villapalacios,,
ES02081,Villarrobledo,,
ES02081,Villarrobledo,,
ES02082,Villatoya,,
ES02082,Villatoya,,
ES02083,Villavaliente,,
ES02083,Villavaliente,,
ES02084,Villaverde de Guadalimar,,
ES02084,Villaverde de Guadalimar,,
ES02085,Viveros,,
ES02085,Viveros,,
ES02086,Yeste,,
ES02086,Yeste,,
ES02901,Pozo Cañada,,
ES02901,Pozo Cañada,,
ES03001,L'Atzúbia/Adsubia,20/04/2020,
ES03001,L'Atzúbia/Adsubia,01/09/2020,
ES03002,Agost,24/01/2020,
ES03002,Agost,08/03/2020,
ES03003,Agres,23/02/2020,
ES03003,Agres,07/09/2020,
ES03004,Aigües,27/08/2020,
ES03004,Aigües,28/08/2020,
ES03005,Albatera,20/04/2020,
ES03005,Albatera,25/07/2020,
ES03006,Alcalalí,25/06/2020,
ES03006,Alcalalí,26/06/2020,
ES03007,Alcocer de Planes,31/08/2020,
ES03007,Alcocer de Planes,20/03/2020,
ES03008,Alcoleja,20/04/2020,
ES03008,Alcoleja,21/08/2020,
ES03009,Alcoy/Alcoi,25/04/2020,
ES03009,Alcoy/Alcoi,27/04/2020,
ES03010,Alfafara,18/03/2020,
ES03010,Alfafara,07/12/2020,
ES03011,l'Alfàs del Pi,09/11/2020,
ES03011,l'Alfàs del Pi,10/11/2020,
ES03012,Algorfa,20/04/2020,
ES03012,Algorfa,16/07/2020,
ES03013,Algueña,20/04/2020,
ES03013,Algueña,30/07/2020,
ES03014,Alicante/Alacant,23/04/2020,
ES03014,Alicante/Alacant,22/06/2020,
ES03015,Almoradí,30/07/2020,
ES03015,Almoradí,30/11/2020,
ES03016,Almudaina,18/01/2020,
ES03016,Almudaina,21/08/2020,
ES03017,l'Alqueria d'Asnar,25/09/2020,
ES03017,l'Alqueria d'Asnar,28/09/2020,
ES03018,Altea,28/09/2020,
ES03018,Altea,29/09/2020,
ES03019,Aspe,20/01/2020,
ES03019,Aspe,05/08/2020,
ES03020,Balones,09/04/2020,
ES03020,Balones,08/10/2020,
ES03021,Banyeres de Mariola,22/04/2020,
ES03021,Banyeres de Mariola,23/04/2020,
ES03022,Benasau,09/04/2020,
ES03022,Benasau,20/04/2020,
ES03023,Beneixama,09/04/2020,
ES03023,Beneixama,20/04/2020,
ES03024,Benejúzar,07/10/2020,
ES03024,Benejúzar,11/06/2020,
ES03025,Benferri,30/09/2020,
ES03025,Benferri,07/10/2020,
ES03026,Beniarbeig,20/03/2020,
ES03026,Beniarbeig,20/04/2020,
ES03027,Beniardá,03/08/2020,
ES03027,Beniardá,04/08/2020,
ES03028,Beniarrés,20/03/2020,
ES03028,Beniarrés,07/12/2020,
ES03029,Benigembla,20/03/2020,
ES03029,Benigembla,07/12/2020,
ES03030,Benidoleig,20/04/2020,
ES03030,Benidoleig,07/08/2020,
ES03031,Benidorm,09/11/2020,
ES03031,Benidorm,10/11/2020,
ES03032,Benifallim,20/04/2020,
ES03032,Benifallim,29/09/2020,
ES03033,Benifato,27/08/2020,
ES03033,Benifato,28/08/2020,
ES03034,Benijófar,09/04/2020,
ES03034,Benijófar,20/04/2020,
ES03035,Benilloba,20/04/2020,
ES03035,Benilloba,28/08/2020,
ES03036,Benillup,20/03/2020,
ES03036,Benillup,04/12/2020,
ES03037,Benimantell,07/08/2020,
ES03037,Benimantell,16/10/2020,
ES03038,Benimarfull,20/03/2020,
ES03038,Benimarfull,09/04/2020,
ES03039,Benimassot,18/03/2020,
ES03039,Benimassot,07/12/2020,
ES03040,Benimeli,20/08/2020,
ES03040,Benimeli,21/08/2020,
ES03041,Benissa,27/04/2020,
ES03041,Benissa,29/06/2020,
ES03042,el Benitachell/Poble Nou de Benitatxell,22/07/2020,
ES03042,el Benitachell/Poble Nou de Benitatxell,24/07/2020,
ES03043,Biar,20/04/2020,
ES03043,Biar,10/07/2020,
ES03044,Bigastro,20/04/2020,
ES03044,Bigastro,17/08/2020,
ES03045,Bolulla,24/08/2020,
ES03045,Bolulla,25/08/2020,
ES03046,Busot,20/04/2020,
ES03046,Busot,10/08/2020,
ES03047,Calp,05/08/2020,
ES03047,Calp,22/10/2020,
ES03048,Callosa d'En Sarrià,24/07/2020,
ES03048,Callosa d'En Sarrià,03/10/2020,
ES03049,Callosa de Segura,20/04/2020,
ES03049,Callosa de Segura,07/12/2020,
ES03050,el Campello,16/07/2020,
ES03050,el Campello,05/10/2020,
ES03051,el Campo de Mirra/Camp de Mirra,20/04/2020,
ES03051,el Campo de Mirra/Camp de Mirra,24/08/2020,
ES03052,Cañada,07/01/2020,
ES03052,Cañada,10/07/2020,
ES03053,Castalla,25/07/2020,
ES03053,Castalla,02/09/2020,
ES03054,Castell de Castells,20/03/2020,
ES03054,Castell de Castells,20/04/2020,
ES03055,Catral,05/02/2020,
ES03055,Catral,12/06/2020,
ES03056,Cocentaina,20/03/2020,
ES03056,Cocentaina,30/10/2020,
ES03057,Confrides,24/08/2020,
ES03057,Confrides,25/08/2020,
ES03058,Cox,15/05/2020,
ES03058,Cox,16/07/2020,
ES03059,Crevillent,09/04/2020,
ES03059,Crevillent,05/10/2020,
ES03060,Quatretondeta,09/04/2020,
ES03060,Quatretondeta,24/12/2020,
ES03061,Daya Nueva,29/09/2020,
ES03061,Daya Nueva,30/09/2020,
ES03062,Daya Vieja,20/04/2020,
ES03062,Daya Vieja,08/09/2020,
ES03063,Dénia,Entidades menores,
ES03063,Dénia,Entidades menores,
ES03064,Dolores,03/04/2020,
ES03064,Dolores,21/09/2020,
ES03065,Elche/Elx,20/04/2020,
ES03065,Elche/Elx,29/12/2020,
ES03066,Elda,08/09/2020,
ES03066,Elda,09/09/2020,
ES03067,Facheca,27/04/2020,
ES03067,Facheca,28/04/2020,
ES03068,Famorca,03/04/2020,
ES03068,Famorca,20/04/2020,
ES03069,Finestrat,21/08/2020,
